moves,largestTile,score
169,128,1484
173,128,1348
135,64,984
38,16,148
120,64,776
147,128,1240
97,64,672
198,128,1624
244,128,2104
126,64,900
139,128,1176
125,64,968
236,128,1788
188,256,2048
89,64,576
49,32,208
152,128,1224
241,128,2060
263,256,2400
305,256,3136
129,128,1072
150,128,1232
158,128,1308
140,128,1172
161,128,1220
190,128,1440
151,128,1308
93,64,612
95,64,540
166,128,1440
186,128,1752
83,64,552
143,128,1228
98,64,572
66,32,320
153,128,1188
160,128,1336
136,128,1096
151,128,1288
122,128,1036
138,128,1192
103,64,620
141,128,1080
157,128,1336
96,64,572
87,64,588
60,32,300
110,128,900
176,128,1524
167,128,1300
117,64,860
143,128,1104
158,128,1300
165,128,1320
199,128,1812
94,64,564
94,64,596
209,256,2016
138,128,1188
155,128,1328
256,256,2384
119,128,1000
210,256,2076
188,128,1320
137,64,844
77,64,456
158,128,1216
80,32,416
117,64,700
163,128,1324
99,64,620
191,128,1620
85,64,504
176,128,1344
111,128,948
240,256,2280
119,64,744
168,128,1176
135,64,884
173,128,1480
65,32,304
109,64,680
151,128,1272
235,256,2316
121,64,840
140,128,1132
153,128,1336
88,64,596
160,128,1372
130,64,884
148,128,1256
118,64,724
138,128,1072
178,128,1208
136,128,1132
134,128,1096
157,128,1344
209,128,1832
182,128,1524
137,64,924
157,128,1160
137,64,984
140,64,980
73,32,392
108,64,632
121,128,920
284,256,2900
163,128,1208
151,128,1316
122,128,996
151,128,1232
89,64,580
153,128,1284
222,128,1920
155,128,1280
95,64,608
178,128,1424
178,128,1384
146,128,1116
117,64,740
166,128,1396
163,128,1308
151,128,1228
142,128,1008
129,128,1140
169,128,1300
149,128,1284
65,32,364
155,128,1192
81,32,432
141,128,1108
189,128,1552
141,64,1044
133,64,800
103,64,616
70,32,348
178,128,1456
163,128,1328
77,32,356
130,128,1084
188,128,1636
116,64,792
184,128,1432
130,128,1008
137,128,1172
101,64,604
69,32,348
172,128,1388
317,256,3068
83,64,536
157,128,1316
114,64,732
165,128,1352
181,128,1472
80,32,388
171,128,1416
73,64,424
71,64,424
120,128,1004
169,128,1404
96,32,484
216,128,1856
149,128,1152
123,64,780
80,64,500
89,64,580
186,128,1468
102,64,636
120,64,720
126,64,880
79,32,408
113,64,580
66,32,376
169,128,1200
173,128,1376
92,64,580
92,64,572
239,256,2404
243,256,2460
159,128,1116
280,256,2828
114,128,960
236,256,2356
163,128,1320
129,64,904
249,256,2624
128,128,1012
166,128,1312
178,128,1360
95,64,600
171,128,1460
58,32,312
254,256,2348
78,32,392
93,32,460
99,64,728
230,256,2380
151,128,1292
70,64,444
193,128,1564
120,128,980
142,128,1204
184,128,1632
42,16,144
63,32,272
180,128,1432
97,64,700
179,128,1412
122,64,640
234,256,2228
139,128,1104
142,128,1076
100,64,608
166,128,1476
167,128,1360
93,64,616
127,64,780
185,128,1548
118,64,812
113,64,720
139,128,1024
99,64,656
86,64,572
222,256,2220
223,256,2388
131,64,836
106,64,684
160,128,1364
109,64,676
180,128,1332
185,128,1392
95,64,628
99,64,740
128,64,748
80,64,504
180,128,1440
131,64,808
167,128,1240
316,256,3180
113,64,800
145,128,1264
178,128,1432
143,128,1100
96,64,600
159,128,1236
159,128,1388
164,128,1412
121,64,784
101,64,596
198,128,1632
129,128,1024
187,128,1492
146,128,1124
132,128,1104
148,128,1272
226,128,1680
157,128,1240
101,64,560
213,256,2096
120,64,724
143,128,1108
155,128,1344
201,128,1620
153,128,1364
186,128,1484
124,64,884
95,64,616
269,256,2584
218,256,2176
200,128,1700
78,64,448
171,128,1368
97,64,600
238,256,2308
103,64,628
182,128,1516
186,128,1440
127,64,792
150,64,980
146,128,1328
207,128,1656
101,64,692
90,64,612
269,256,2772
127,64,836
98,64,616
85,64,492
249,256,2424
176,128,1532
142,64,1012
219,128,1736
170,128,1260
239,256,2420
81,64,488
167,128,1292
121,64,788
163,128,1364
189,256,1980
150,128,1260
184,128,1500
167,128,1400
85,64,576
133,128,1072
109,64,716
307,256,3012
104,64,724
274,256,2744
150,64,908
154,128,1180
154,128,1312
159,128,1328
125,64,884
101,64,676
111,128,908
114,64,776
180,128,1432
153,128,1232
165,128,1328
96,64,688
71,32,376
173,256,1892
159,128,1196
213,128,1500
94,64,636
170,128,1384
117,64,888
82,64,532
97,64,580
135,64,860
89,64,580
171,128,1396
130,128,1000
169,128,1364
84,64,504
117,64,680
182,128,1448
212,128,1636
155,128,1292
161,128,1368
122,128,1024
176,128,1388
125,64,816
105,64,676
94,64,600
159,128,1260
132,64,964
167,128,1336
203,256,2176
145,128,1292
160,128,1396
158,128,1176
133,128,1004
82,32,404
155,128,1304
224,256,2220
125,128,1020
80,32,480
246,256,2612
141,128,1268
155,128,1284
125,64,860
95,64,648
195,128,1600
103,64,712
204,128,1808
111,128,984
235,256,2360
103,64,588
271,256,2528
158,128,1280
147,128,1260
193,128,1420
193,128,1444
118,64,748
169,128,1360
141,128,1252
182,128,1412
131,128,1048
84,64,564
145,128,1104
231,128,2036
128,128,1028
112,64,704
